epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.77954,4.30152,5.57991,3.01534,0,0,0,0,3.64342,4.38014,2.48536,7.145e-05,7.145e-05,7.145e-05
2,3.12723,3.99274,5.67298,2.85672,0.00052,0.04762,0.00084,0.00026,3.17423,4.3082,2.45909,0.000154078,0.000154078,0.000154078
3,4.46425,2.83035,4.10359,2.01137,0.0053,0.49048,0.26437,0.07465,2.63667,3.99842,2.26614,0.00023331,0.00023331,0.00023331
4,5.76015,2.48864,3.30835,1.8084,0.00635,0.62861,0.40958,0.11458,2.05206,3.78672,1.66372,0.000309147,0.000309147,0.000309147
5,7.05701,2.16306,2.71099,1.61257,0.00516,0.47286,0.2721,0.11865,2.18841,3.71244,1.86749,0.000381589,0.000381589,0.000381589
6,8.34097,2.14466,2.52025,1.58214,0.00227,0.19048,0.06508,0.01782,2.27174,3.66593,1.90896,0.000450635,0.000450635,0.000450635
7,9.62224,1.99502,2.27735,1.5641,0.00285,0.28571,0.00876,0.0042,1.80977,3.36441,1.62214,0.000516286,0.000516286,0.000516286
8,10.9139,1.9958,1.93831,1.49711,0.00369,0.37311,0.01538,0.0043,1.92432,3.32805,1.53828,0.000578542,0.000578542,0.000578542
9,12.1945,1.84265,1.8252,1.44497,0.00631,0.65714,0.36358,0.14951,1.82231,3.0348,1.50893,0.000637403,0.000637403,0.000637403
10,13.4837,1.85192,1.71595,1.37878,0.00601,0.63782,0.31226,0.15115,1.65811,3.0545,1.50032,0.000692868,0.000692868,0.000692868
11,14.75,1.75753,1.65077,1.35512,0.0054,0.58852,0.14199,0.05785,1.55403,3.17511,1.42103,0.000744938,0.000744938,0.000744938
12,16.0171,1.79959,1.65574,1.36004,0.00927,0.90188,0.56851,0.23801,1.68192,2.83634,1.41092,0.000793612,0.000793612,0.000793612
13,17.2954,1.83305,1.52052,1.37255,0.20542,0.88947,0.80607,0.36273,1.72617,2.69432,1.46841,0.000838892,0.000838892,0.000838892
14,18.58,1.76167,1.64918,1.34728,0.71702,0.72333,0.85635,0.40533,1.65492,2.62359,1.46736,0.000880776,0.000880776,0.000880776
15,19.8638,1.7541,1.58968,1.33621,0.90002,0.11127,0.85745,0.37035,1.67094,2.57319,1.46038,0.000919264,0.000919264,0.000919264
16,21.1368,1.74089,1.56122,1.36973,0.88468,0.40873,0.85156,0.37566,1.67572,2.39142,1.45514,0.000954358,0.000954358,0.000954358
17,22.3964,1.74915,1.47309,1.32222,0.87024,0.41971,0.78803,0.34759,1.77939,2.41706,1.38677,0.000976293,0.000976293,0.000976293
18,23.6764,1.64851,1.44365,1.28503,0.75259,0.73059,0.94158,0.43039,1.78277,1.79112,1.38791,0.000947999,0.000947999,0.000947999
19,24.9488,1.74025,1.37306,1.36726,0.77346,0.78699,0.94246,0.41892,1.78637,1.80328,1.43531,0.000919704,0.000919704,0.000919704
20,26.216,1.68144,1.45923,1.33077,0.81673,0.58433,0.8824,0.40206,1.68478,1.98231,1.4596,0.00089141,0.00089141,0.00089141
21,27.4845,1.67926,1.43012,1.31055,0.81444,0.74268,0.93359,0.46224,1.61095,1.71121,1.43615,0.000863116,0.000863116,0.000863116
22,28.7739,1.69939,1.38908,1.35097,0.89968,0.86709,0.94899,0.47013,1.67287,1.47777,1.43334,0.000834822,0.000834822,0.000834822
23,30.0576,1.62419,1.27849,1.27987,0.87919,0.89738,0.96302,0.47435,1.61681,1.45954,1.39607,0.000806528,0.000806528,0.000806528
24,31.3411,1.68717,1.35191,1.29427,0.89571,0.81744,0.96531,0.45007,1.62609,1.37022,1.3791,0.000778233,0.000778233,0.000778233
25,32.6007,1.67282,1.37296,1.28428,0.92621,0.90224,0.97771,0.44661,1.67741,1.22748,1.41776,0.000749939,0.000749939,0.000749939
26,33.8859,1.69034,1.31506,1.2966,0.89982,0.93896,0.96856,0.51146,1.64191,1.18501,1.43717,0.000721645,0.000721645,0.000721645
27,35.1663,1.58486,1.31782,1.26582,0.91195,0.93445,0.96856,0.50158,1.66437,1.15372,1.40922,0.000693351,0.000693351,0.000693351
28,36.4338,1.6348,1.35155,1.26736,0.88033,0.95574,0.96312,0.49214,1.7411,1.17541,1.41854,0.000665057,0.000665057,0.000665057
29,37.7049,1.61452,1.23866,1.28963,0.86372,0.91716,0.95465,0.47547,1.74373,1.2508,1.44093,0.000636762,0.000636762,0.000636762
30,38.9803,1.56106,1.29638,1.25831,0.93136,0.94587,0.96548,0.51589,1.63423,1.02665,1.42252,0.000608468,0.000608468,0.000608468
31,40.2585,1.60797,1.22289,1.24768,0.95281,0.95081,0.96637,0.51193,1.58685,1.01303,1.40974,0.000580174,0.000580174,0.000580174
32,41.5622,1.56862,1.30006,1.22622,0.95667,0.96106,0.98478,0.53738,1.55569,1.06446,1.40879,0.00055188,0.00055188,0.00055188
33,42.8405,1.66989,1.24527,1.23814,0.93495,0.98067,0.98476,0.52894,1.57062,1.07313,1.39979,0.000523586,0.000523586,0.000523586
34,44.1154,1.61902,1.22877,1.24154,0.95265,0.97915,0.98624,0.53564,1.55925,0.9829,1.38286,0.000495291,0.000495291,0.000495291
35,45.3896,1.6063,1.19805,1.2533,0.96589,0.97754,0.98663,0.52936,1.51698,0.91592,1.36974,0.000466997,0.000466997,0.000466997
36,46.6622,1.62142,1.18823,1.25832,0.94881,0.97492,0.98872,0.51224,1.52572,0.91716,1.35689,0.000438703,0.000438703,0.000438703
37,47.9307,1.61649,1.15131,1.27222,0.9533,0.9752,0.98867,0.51305,1.51268,0.926,1.34887,0.000410409,0.000410409,0.000410409
38,49.2119,1.59623,1.14554,1.23357,0.95921,0.9743,0.9881,0.53043,1.51292,0.975,1.32968,0.000382115,0.000382115,0.000382115
39,50.4741,1.5544,1.13628,1.21751,0.95613,0.97941,0.98616,0.51606,1.4963,0.98945,1.32069,0.00035382,0.00035382,0.00035382
40,51.748,1.60312,1.21104,1.28215,0.95136,0.97328,0.98618,0.5177,1.50102,0.98377,1.30811,0.000325526,0.000325526,0.000325526
41,53.444,1.52695,1.27059,1.31824,0.95772,0.97637,0.98855,0.51244,1.5137,0.94705,1.30336,0.000297232,0.000297232,0.000297232
42,54.7398,1.56019,1.21071,1.2705,0.96575,0.98067,0.98867,0.51136,1.52307,0.9274,1.32318,0.000268938,0.000268938,0.000268938
43,55.9927,1.59648,1.25792,1.27202,0.96846,0.98067,0.98885,0.52044,1.54187,0.90283,1.34353,0.000240644,0.000240644,0.000240644
44,57.2558,1.51694,1.22198,1.28804,0.96913,0.98711,0.98796,0.51941,1.55011,0.88757,1.35453,0.000212349,0.000212349,0.000212349
45,58.5118,1.54154,1.18937,1.27517,0.97449,0.98626,0.98811,0.51919,1.56284,0.89042,1.35211,0.000184055,0.000184055,0.000184055
46,59.7745,1.51382,1.20335,1.26187,0.97588,0.97789,0.98867,0.51167,1.54463,0.88242,1.32498,0.000155761,0.000155761,0.000155761
47,61.0274,1.51962,1.18991,1.27283,0.9752,0.97718,0.98803,0.5119,1.5303,0.89187,1.31738,0.000127467,0.000127467,0.000127467
48,62.2844,1.51799,1.16959,1.26319,0.95889,0.97057,0.97442,0.52094,1.50872,0.90727,1.30988,9.91726e-05,9.91726e-05,9.91726e-05
49,63.5384,1.50442,1.18819,1.27417,0.9651,0.95886,0.97413,0.5212,1.50213,0.91105,1.30922,7.08784e-05,7.08784e-05,7.08784e-05
50,64.8152,1.56547,1.22954,1.32179,0.9664,0.95567,0.97409,0.52388,1.50169,0.9206,1.30937,4.25842e-05,4.25842e-05,4.25842e-05
